,0,1
80,"('R4291;R1538', 'R3449', 'R3372')",4.259078816049822e-05
81,"('R4291;R1538', 'R4063', 'R4272')",281.0661297673333
82,"('R4291;R1538', 'R3715', 'R1825')",0.06019625472614583
83,"('R4291;R1538', 'R1993', 'R3935')",1.2231585472043597e-05
84,"('R4291;R1538', 'R4272', 'R4063')",1.976321583598268e-05
85,"('R4291;R1538', 'R3595', 'R3403')",3.8734449885845386e-05
86,"('R4291;R1538', 'R1392', 'R3935')",8.02955540436543e-05
87,"('R4291;R1538', 'R2898', 'R1532')",0.002908922889634003
88,"('R4291;R1538', 'R2752', 'R1392')",8.03024790062728e-05
89,"('R4291;R1538', 'R1392', 'R2752')",0.007576911328220972
90,"('R4291;R1538', 'R3392', 'R2449')",0.0028886609403725753
91,"('R4291;R1538', 'R3935', 'R1392')",0.00759902414418214
92,"('R4291;R1538', 'R2951', 'R2264')",6.902097136870273e-06
93,"('R4291;R1538', 'R2449', 'R3392')",0.00057482702563842
94,"('R4291;R1538', 'R2264', 'R3591')",2.3990919044335432e-05
95,"('R4291;R1538', 'R1993', 'R3591')",2.6130238665754595e-05
96,"('R4291;R1538', 'R1532', 'R2898')",0.0005742793007259554
97,"('R4291;R1538', 'R2264', 'R2951')",6.68544493745905e-06
98,"('R4291;R1538', 'R3591', 'R1993')",1.53159533584441e-05
99,"('R4291;R1538', 'R3591', 'R2264')",1.3026193649200621e-05
100,"('R4291;R1538', 'R4291', 'R1419')",2538.2027500894155
101,"('R4291;R1538', 'R1419', 'R4291')",6.647009965963205e-07
102,"('R4291;R1538', 'R2550', 'R1992')",0.0008561988497997382
103,"('R4291;R1538', 'R1992', 'R2550')",0.0008750196037075793
104,"('R4291;R1538', 'R2428', 'R3945')",0.0009425035414773464
105,"('R4291;R1538', 'R3896', 'R2264')",5.824237097370144e-05
106,"('R4291;R1538', 'R3945', 'R2428')",6.439640040307735e-05
107,"('R4291;R1538', 'R3457', 'R1334')",0.00015222622701417638
108,"('R4291;R1538', 'R1334', 'R3457')",0.00013277827875709836
109,"('R4291;R1538', 'R3664', 'R1993')",3.854886945207643e-06
110,"('R4291;R1538', 'R3896', 'R1993')",2.7417910644453127e-05
